product_id,macrolide_name,macrolide_input_smiles,seed_metabolite_id,seed_metabolite_name,seed_canonical_neutral_smiles,seed_n_primary_amine,reaction_smarts,aldehyde_match_atoms,amine_match_atoms,new_cn_bond_product_atoms,product_smiles,canonical_product_smiles,product_mw,product_heavy_atom_count,reaction_status,notes,image_path,pMIC_pred£¨¦Ìmol/ml£©,origin_pMIC_pred£¨¦Ìmol/ml£©
tylosin_seed_amine_0001,Tylosin (Ì©ÀÖ¾úËØ),CC[C@@H]1[C@H](/C=C(/C=C/C(=O)[C@@H](C[C@@H]([C@@H]([C@H]([C@@H](CC(=O)O1)O)C)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)C)O[C@H]3C[C@@]([C@H]([C@@H](O3)C)O)(C)O)N(C)C)O)CC=O)C)\C)CO[C@H]4[C@@H]([C@@H]([C@@H]([C@H](O4)C)O)OC)OC,MPM00425,ADC,C=C(OC1C=C(C(=O)O)C=CC1N)C(=O)O,1,[*:1][CX3H1:2]=[OX1].[NX3;H2:4][CX4;!a:5]>>[*:1][CH2:2][NH:4][CX4;!a:5],"[46,47]","[12,11]","[1,2]",C=C(OC1C=C(C(=O)O)C=CC1NCC[C@H]1C[C@@H](C)C(=O)/C=C/C(C)=C/[C@H](CO[C@@H]2O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]2OC)[C@@H](CC)OC(=O)C[C@@H](O)[C@H](C)[C@H]1O[C@@H]1O[C@H](C)[C@@H](O[C@H]2C[C@@](C)(O)[C@@H](O)[C@H](C)O2)[C@H](N(C)C)[C@H]1O)C(=O)O,C=C(OC1C=C(C(=O)O)C=CC1NCC[C@H]1C[C@@H](C)C(=O)/C=C/C(C)=C/[C@H](CO[C@@H]2O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]2OC)[C@@H](CC)OC(=O)C[C@@H](O)[C@H](C)[C@H]1O[C@@H]1O[C@H](C)[C@@H](O[C@H]2C[C@@](C)(O)[C@@H](O)[C@H](C)O2)[C@H](N(C)C)[C@H]1O)C(=O)O,1125.313,79,success,,outputs/mpmdb_seed_macrolide_reductive_amination/images/tylosin/tylosin_seed_amine_0001_MPM00425.png,0.1305,0.130536984
tylosin_seed_amine_0002,Tylosin (Ì©ÀÖ¾úËØ),CC[C@@H]1[C@H](/C=C(/C=C/C(=O)[C@@H](C[C@@H]([C@@H]([C@H]([C@@H](CC(=O)O1)O)C)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)C)O[C@H]3C[C@@]([C@H]([C@@H](O3)C)O)(C)O)N(C)C)O)CC=O)C)\C)CO[C@H]4[C@@H]([C@@H]([C@@H]([C@H](O4)C)O)OC)OC,MPM01075,(S)-2-Amino-3-oxobutanoic acid,CC(=O)C(N)C(=O)O,1,[*:1][CX3H1:2]=[OX1].[NX3;H2:4][CX4;!a:5]>>[*:1][CH2:2][NH:4][CX4;!a:5],"[46,47]","[4,3]","[1,2]",CC[C@H]1OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O[C@H]3C[C@@](C)(O)[C@@H](O)[C@H](C)O3)[C@H](N(C)C)[C@H]2O)[C@@H](CCNC(C(C)=O)C(=O)O)C[C@@H](C)C(=O)/C=C/C(C)=C/[C@@H]1CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]1OC,CC[C@H]1OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O[C@H]3C[C@@](C)(O)[C@@H](O)[C@H](C)O3)[C@H](N(C)C)[C@H]2O)[C@@H](CCNC(C(C)=O)C(=O)O)C[C@@H](C)C(=O)/C=C/C(C)=C/[C@@H]1CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]1OC,1017.217,71,success,,outputs/mpmdb_seed_macrolide_reductive_amination/images/tylosin/tylosin_seed_amine_0002_MPM01075.png,-0.5452,-0.545247832
tylosin_seed_amine_0003,Tylosin (Ì©ÀÖ¾úËØ),CC[C@@H]1[C@H](/C=C(/C=C/C(=O)[C@@H](C[C@@H]([C@@H]([C@H]([C@@H](CC(=O)O1)O)C)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)C)O[C@H]3C[C@@]([C@H]([C@@H](O3)C)O)(C)O)N(C)C)O)CC=O)C)\C)CO[C@H]4[C@@H]([C@@H]([C@@H]([C@H](O4)C)O)OC)OC,MPM00147,1-Amino-2-propanone,CC(=O)CN,1,[*:1][CX3H1:2]=[OX1].[NX3;H2:4][CX4;!a:5]>>[*:1][CH2:2][NH:4][CX4;!a:5],"[46,47]","[4,3]","[1,2]",CC[C@H]1OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O[C@H]3C[C@@](C)(O)[C@@H](O)[C@H](C)O3)[C@H](N(C)C)[C@H]2O)[C@@H](CCNCC(C)=O)C[C@@H](C)C(=O)/C=C/C(C)=C/[C@@H]1CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]1OC,CC[C@H]1OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O[C@H]3C[C@@](C)(O)[C@@H](O)[C@H](C)O3)[C@H](N(C)C)[C@H]2O)[C@@H](CCNCC(C)=O)C[C@@H](C)C(=O)/C=C/C(C)=C/[C@@H]1CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]1OC,973.208,68,success,,outputs/mpmdb_seed_macrolide_reductive_amination/images/tylosin/tylosin_seed_amine_0003_MPM00147.png,-0.4495,-0.449518273
tylosin_seed_amine_0004,Tylosin (Ì©ÀÖ¾úËØ),CC[C@@H]1[C@H](/C=C(/C=C/C(=O)[C@@H](C[C@@H]([C@@H]([C@H]([C@@H](CC(=O)O1)O)C)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)C)O[C@H]3C[C@@]([C@H]([C@@H](O3)C)O)(C)O)N(C)C)O)CC=O)C)\C)CO[C@H]4[C@@H]([C@@H]([C@@H]([C@H](O4)C)O)OC)OC,MPM00810,"N-acetyl-LL-2,6-diaminopimelic acid",CC(=O)NC(CCCC(N)C(=O)O)C(=O)O,1,[*:1][CX3H1:2]=[OX1].[NX3;H2:4][CX4;!a:5]>>[*:1][CH2:2][NH:4][CX4;!a:5],"[46,47]","[9,8]","[1,2]",CC[C@H]1OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O[C@H]3C[C@@](C)(O)[C@@H](O)[C@H](C)O3)[C@H](N(C)C)[C@H]2O)[C@@H](CCNC(CCCC(NC(C)=O)C(=O)O)C(=O)O)C[C@@H](C)C(=O)/C=C/C(C)=C/[C@@H]1CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]1OC,CC[C@H]1OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O[C@H]3C[C@@](C)(O)[C@@H](O)[C@H](C)O3)[C@H](N(C)C)[C@H]2O)[C@@H](CCNC(CCCC(NC(C)=O)C(=O)O)C(=O)O)C[C@@H](C)C(=O)/C=C/C(C)=C/[C@@H]1CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]1OC,1132.349,79,success,,outputs/mpmdb_seed_macrolide_reductive_amination/images/tylosin/tylosin_seed_amine_0004_MPM00810.png,-0.6626,-0.66261693
tylosin_seed_amine_0005,Tylosin (Ì©ÀÖ¾úËØ),CC[C@@H]1[C@H](/C=C(/C=C/C(=O)[C@@H](C[C@@H]([C@@H]([C@H]([C@@H](CC(=O)O1)O)C)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)C)O[C@H]3C[C@@]([C@H]([C@@H](O3)C)O)(C)O)N(C)C)O)CC=O)C)\C)CO[C@H]4[C@@H]([C@@H]([C@@H]([C@H](O4)C)O)OC)OC,MPM01517,N2-Acetyl-L-ornithine,CC(=O)NC(CCCN)C(=O)O,1,[*:1][CX3H1:2]=[OX1].[NX3;H2:4][CX4;!a:5]>>[*:1][CH2:2][NH:4][CX4;!a:5],"[46,47]","[8,7]","[1,2]",CC[C@H]1OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O[C@H]3C[C@@](C)(O)[C@@H](O)[C@H](C)O3)[C@H](N(C)C)[C@H]2O)[C@@H](CCNCCCC(NC(C)=O)C(=O)O)C[C@@H](C)C(=O)/C=C/C(C)=C/[C@@H]1CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]1OC,CC[C@H]1OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O[C@H]3C[C@@](C)(O)[C@@H](O)[C@H](C)O3)[C@H](N(C)C)[C@H]2O)[C@@H](CCNCCCC(NC(C)=O)C(=O)O)C[C@@H](C)C(=O)/C=C/C(C)=C/[C@@H]1CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]1OC,1074.313,75,success,,outputs/mpmdb_seed_macrolide_reductive_amination/images/tylosin/tylosin_seed_amine_0005_MPM01517.png,-0.5937,-0.593707745
tylosin_seed_amine_0006,Tylosin (Ì©ÀÖ¾úËØ),CC[C@@H]1[C@H](/C=C(/C=C/C(=O)[C@@H](C[C@@H]([C@@H]([C@H]([C@@H](CC(=O)O1)O)C)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)C)O[C@H]3C[C@@]([C@H]([C@@H](O3)C)O)(C)O)N(C)C)O)CC=O)C)\C)CO[C@H]4[C@@H]([C@@H]([C@@H]([C@H](O4)C)O)OC)OC,MPM01530,O3-Acetyl-L-serine,CC(=O)OCC(N)C(=O)O,1,[*:1][CX3H1:2]=[OX1].[NX3;H2:4][CX4;!a:5]>>[*:1][CH2:2][NH:4][CX4;!a:5],"[46,47]","[6,5]","[1,2]",CC[C@H]1OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O[C@H]3C[C@@](C)(O)[C@@H](O)[C@H](C)O3)[C@H](N(C)C)[C@H]2O)[C@@H](CCNC(COC(C)=O)C(=O)O)C[C@@H](C)C(=O)/C=C/C(C)=C/[C@@H]1CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]1OC,CC[C@H]1OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O[C@H]3C[C@@](C)(O)[C@@H](O)[C@H](C)O3)[C@H](N(C)C)[C@H]2O)[C@@H](CCNC(COC(C)=O)C(=O)O)C[C@@H](C)C(=O)/C=C/C(C)=C/[C@@H]1CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]1OC,1047.243,73,success,,outputs/mpmdb_seed_macrolide_reductive_amination/images/tylosin/tylosin_seed_amine_0006_MPM01530.png,-0.3269,-0.326907235
tylosin_seed_amine_0007,Tylosin (Ì©ÀÖ¾úËØ),CC[C@@H]1[C@H](/C=C(/C=C/C(=O)[C@@H](C[C@@H]([C@@H]([C@H]([C@@H](CC(=O)O1)O)C)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)C)O[C@H]3C[C@@]([C@H]([C@@H](O3)C)O)(C)O)N(C)C)O)CC=O)C)\C)CO[C@H]4[C@@H]([C@@H]([C@@H]([C@H](O4)C)O)OC)OC,MPM01531,O-Acetylhomoserine,CC(=O)OCCC(N)C(=O)O,1,[*:1][CX3H1:2]=[OX1].[NX3;H2:4][CX4;!a:5]>>[*:1][CH2:2][NH:4][CX4;!a:5],"[46,47]","[7,6]","[1,2]",CC[C@H]1OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O[C@H]3C[C@@](C)(O)[C@@H](O)[C@H](C)O3)[C@H](N(C)C)[C@H]2O)[C@@H](CCNC(CCOC(C)=O)C(=O)O)C[C@@H](C)C(=O)/C=C/C(C)=C/[C@@H]1CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]1OC,CC[C@H]1OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O[C@H]3C[C@@](C)(O)[C@@H](O)[C@H](C)O3)[C@H](N(C)C)[C@H]2O)[C@@H](CCNC(CCOC(C)=O)C(=O)O)C[C@@H](C)C(=O)/C=C/C(C)=C/[C@@H]1CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]1OC,1061.27,74,success,,outputs/mpmdb_seed_macrolide_reductive_amination/images/tylosin/tylosin_seed_amine_0007_MPM01531.png,-0.5692,-0.569196859
tylosin_seed_amine_0008,Tylosin (Ì©ÀÖ¾úËØ),CC[C@@H]1[C@H](/C=C(/C=C/C(=O)[C@@H](C[C@@H]([C@@H]([C@H]([C@@H](CC(=O)O1)O)C)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)C)O[C@H]3C[C@@]([C@H]([C@@H](O3)C)O)(C)O)N(C)C)O)CC=O)C)\C)CO[C@H]4[C@@H]([C@@H]([C@@H]([C@H](O4)C)O)OC)OC,MPM01137,2-Amino-3-methylbutyric acid,CC(C)C(N)C(=O)O,1,[*:1][CX3H1:2]=[OX1].[NX3;H2:4][CX4;!a:5]>>[*:1][CH2:2][NH:4][CX4;!a:5],"[46,47]","[4,3]","[1,2]",CC[C@H]1OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O[C@H]3C[C@@](C)(O)[C@@H](O)[C@H](C)O3)[C@H](N(C)C)[C@H]2O)[C@@H](CCNC(C(=O)O)C(C)C)C[C@@H](C)C(=O)/C=C/C(C)=C/[C@@H]1CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]1OC,CC[C@H]1OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O[C@H]3C[C@@](C)(O)[C@@H](O)[C@H](C)O3)[C@H](N(C)C)[C@H]2O)[C@@H](CCNC(C(=O)O)C(C)C)C[C@@H](C)C(=O)/C=C/C(C)=C/[C@@H]1CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]1OC,1017.261,71,success,,outputs/mpmdb_seed_macrolide_reductive_amination/images/tylosin/tylosin_seed_amine_0008_MPM01137.png,-0.6672,-0.667169475
tylosin_seed_amine_0009,Tylosin (Ì©ÀÖ¾úËØ),CC[C@@H]1[C@H](/C=C(/C=C/C(=O)[C@@H](C[C@@H]([C@@H]([C@H]([C@@H](CC(=O)O1)O)C)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)C)O[C@H]3C[C@@]([C@H]([C@@H](O3)C)O)(C)O)N(C)C)O)CC=O)C)\C)CO[C@H]4[C@@H]([C@@H]([C@@H]([C@H](O4)C)O)OC)OC,MPM01055,(2S)-alpha-Leucine,CC(C)CC(N)C(=O)O,1,[*:1][CX3H1:2]=[OX1].[NX3;H2:4][CX4;!a:5]>>[*:1][CH2:2][NH:4][CX4;!a:5],"[46,47]","[5,4]","[1,2]",CC[C@H]1OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O[C@H]3C[C@@](C)(O)[C@@H](O)[C@H](C)O3)[C@H](N(C)C)[C@H]2O)[C@@H](CCNC(CC(C)C)C(=O)O)C[C@@H](C)C(=O)/C=C/C(C)=C/[C@@H]1CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]1OC,CC[C@H]1OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O[C@H]3C[C@@](C)(O)[C@@H](O)[C@H](C)O3)[C@H](N(C)C)[C@H]2O)[C@@H](CCNC(CC(C)C)C(=O)O)C[C@@H](C)C(=O)/C=C/C(C)=C/[C@@H]1CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]1OC,1031.288,72,success,,outputs/mpmdb_seed_macrolide_reductive_amination/images/tylosin/tylosin_seed_amine_0009_MPM01055.png,-0.7501,-0.750065778
tylosin_seed_amine_0010,Tylosin (Ì©ÀÖ¾úËØ),CC[C@@H]1[C@H](/C=C(/C=C/C(=O)[C@@H](C[C@@H]([C@@H]([C@H]([C@@H](CC(=O)O1)O)C)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)C)O[C@H]3C[C@@]([C@H]([C@@H](O3)C)O)(C)O)N(C)C)O)CC=O)C)\C)CO[C@H]4[C@@H]([C@@H]([C@@H]([C@H](O4)C)O)OC)OC,MPM00737,l-Alanyl-l-leucine,CC(C)CC(NC(=O)C(C)N)C(=O)O,1,[*:1][CX3H1:2]=[OX1].[NX3;H2:4][CX4;!a:5]>>[*:1][CH2:2][NH:4][CX4;!a:5],"[46,47]","[10,8]","[1,2]",CC[C@H]1OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O[C@H]3C[C@@](C)(O)[C@@H](O)[C@H](C)O3)[C@H](N(C)C)[C@H]2O)[C@@H](CCNC(C)C(=O)NC(CC(C)C)C(=O)O)C[C@@H](C)C(=O)/C=C/C(C)=C/[C@@H]1CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]1OC,CC[C@H]1OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O[C@H]3C[C@@](C)(O)[C@@H](O)[C@H](C)O3)[C@H](N(C)C)[C@H]2O)[C@@H](CCNC(C)C(=O)NC(CC(C)C)C(=O)O)C[C@@H](C)C(=O)/C=C/C(C)=C/[C@@H]1CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]1OC,1102.367,77,success,,outputs/mpmdb_seed_macrolide_reductive_amination/images/tylosin/tylosin_seed_amine_0010_MPM00737.png,-0.9041,-0.904088137
tylosin_seed_amine_0011,Tylosin (Ì©ÀÖ¾úËØ),CC[C@@H]1[C@H](/C=C(/C=C/C(=O)[C@@H](C[C@@H]([C@@H]([C@H]([C@@H](CC(=O)O1)O)C)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)C)O[C@H]3C[C@@]([C@H]([C@@H](O3)C)O)(C)O)N(C)C)O)CC=O)C)\C)CO[C@H]4[C@@H]([C@@H]([C@@H]([C@H](O4)C)O)OC)OC,MPM00675,Glycyl-L-leucine,CC(C)CC(NC(=O)CN)C(=O)O,1,[*:1][CX3H1:2]=[OX1].[NX3;H2:4][CX4;!a:5]>>[*:1][CH2:2][NH:4][CX4;!a:5],"[46,47]","[9,8]","[1,2]",CC[C@H]1OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O[C@H]3C[C@@](C)(O)[C@@H](O)[C@H](C)O3)[C@H](N(C)C)[C@H]2O)[C@@H](CCNCC(=O)NC(CC(C)C)C(=O)O)C[C@@H](C)C(=O)/C=C/C(C)=C/[C@@H]1CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]1OC,CC[C@H]1OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O[C@H]3C[C@@](C)(O)[C@@H](O)[C@H](C)O3)[C@H](N(C)C)[C@H]2O)[C@@H](CCNCC(=O)NC(CC(C)C)C(=O)O)C[C@@H](C)C(=O)/C=C/C(C)=C/[C@@H]1CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]1OC,1088.34,76,success,,outputs/mpmdb_seed_macrolide_reductive_amination/images/tylosin/tylosin_seed_amine_0011_MPM00675.png,-0.5441,-0.544060125
tylosin_seed_amine_0012,Tylosin (Ì©ÀÖ¾úËØ),CC[C@@H]1[C@H](/C=C(/C=C/C(=O)[C@@H](C[C@@H]([C@@H]([C@H]([C@@H](CC(=O)O1)O)C)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)C)O[C@H]3C[C@@]([C@H]([C@@H](O3)C)O)(C)O)N(C)C)O)CC=O)C)\C)CO[C@H]4[C@@H]([C@@H]([C@@H]([C@H](O4)C)O)OC)OC,MPM01359,D-Ala-D-Ala,CC(N)C(=O)NC(C)C(=O)O,1,[*:1][CX3H1:2]=[OX1].[NX3;H2:4][CX4;!a:5]>>[*:1][CH2:2][NH:4][CX4;!a:5],"[46,47]","[2,1]","[1,2]",CC[C@H]1OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O[C@H]3C[C@@](C)(O)[C@@H](O)[C@H](C)O3)[C@H](N(C)C)[C@H]2O)[C@@H](CCNC(C)C(=O)NC(C)C(=O)O)C[C@@H](C)C(=O)/C=C/C(C)=C/[C@@H]1CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]1OC,CC[C@H]1OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O[C@H]3C[C@@](C)(O)[C@@H](O)[C@H](C)O3)[C@H](N(C)C)[C@H]2O)[C@@H](CCNC(C)C(=O)NC(C)C(=O)O)C[C@@H](C)C(=O)/C=C/C(C)=C/[C@@H]1CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]1OC,1060.286,74,success,,outputs/mpmdb_seed_macrolide_reductive_amination/images/tylosin/tylosin_seed_amine_0012_MPM01359.png,-0.4623,-0.462260657
tylosin_seed_amine_0013,Tylosin (Ì©ÀÖ¾úËØ),CC[C@@H]1[C@H](/C=C(/C=C/C(=O)[C@@H](C[C@@H]([C@@H]([C@H]([C@@H](CC(=O)O1)O)C)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)C)O[C@H]3C[C@@]([C@H]([C@@H](O3)C)O)(C)O)N(C)C)O)CC=O)C)\C)CO[C@H]4[C@@H]([C@@H]([C@@H]([C@H](O4)C)O)OC)OC,MPM00439,Ala-Asp,CC(N)C(=O)NC(CC(=O)O)C(=O)O,1,[*:1][CX3H1:2]=[OX1].[NX3;H2:4][CX4;!a:5]>>[*:1][CH2:2][NH:4][CX4;!a:5],"[46,47]","[2,1]","[1,2]",CC[C@H]1OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O[C@H]3C[C@@](C)(O)[C@@H](O)[C@H](C)O3)[C@H](N(C)C)[C@H]2O)[C@@H](CCNC(C)C(=O)NC(CC(=O)O)C(=O)O)C[C@@H](C)C(=O)/C=C/C(C)=C/[C@@H]1CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]1OC,CC[C@H]1OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O[C@H]3C[C@@](C)(O)[C@@H](O)[C@H](C)O3)[C@H](N(C)C)[C@H]2O)[C@@H](CCNC(C)C(=O)NC(CC(=O)O)C(=O)O)C[C@@H](C)C(=O)/C=C/C(C)=C/[C@@H]1CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]1OC,1104.295,77,success,,outputs/mpmdb_seed_macrolide_reductive_amination/images/tylosin/tylosin_seed_amine_0013_MPM00439.png,-0.4354,-0.43535307
tylosin_seed_amine_0014,Tylosin (Ì©ÀÖ¾úËØ),CC[C@@H]1[C@H](/C=C(/C=C/C(=O)[C@@H](C[C@@H]([C@@H]([C@H]([C@@H](CC(=O)O1)O)C)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)C)O[C@H]3C[C@@]([C@H]([C@@H](O3)C)O)(C)O)N(C)C)O)CC=O)C)\C)CO[C@H]4[C@@H]([C@@H]([C@@H]([C@H](O4)C)O)OC)OC,MPM00735,L-Alanyl-L-glutamate,CC(N)C(=O)NC(CCC(=O)O)C(=O)O,1,[*:1][CX3H1:2]=[OX1].[NX3;H2:4][CX4;!a:5]>>[*:1][CH2:2][NH:4][CX4;!a:5],"[46,47]","[2,1]","[1,2]",CC[C@H]1OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O[C@H]3C[C@@](C)(O)[C@@H](O)[C@H](C)O3)[C@H](N(C)C)[C@H]2O)[C@@H](CCNC(C)C(=O)NC(CCC(=O)O)C(=O)O)C[C@@H](C)C(=O)/C=C/C(C)=C/[C@@H]1CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]1OC,CC[C@H]1OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O[C@H]3C[C@@](C)(O)[C@@H](O)[C@H](C)O3)[C@H](N(C)C)[C@H]2O)[C@@H](CCNC(C)C(=O)NC(CCC(=O)O)C(=O)O)C[C@@H](C)C(=O)/C=C/C(C)=C/[C@@H]1CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]1OC,1118.322,78,success,,outputs/mpmdb_seed_macrolide_reductive_amination/images/tylosin/tylosin_seed_amine_0014_MPM00735.png,-0.4401,-0.44010129
tylosin_seed_amine_0015,Tylosin (Ì©ÀÖ¾úËØ),CC[C@@H]1[C@H](/C=C(/C=C/C(=O)[C@@H](C[C@@H]([C@@H]([C@H]([C@@H](CC(=O)O1)O)C)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)C)O[C@H]3C[C@@]([C@H]([C@@H](O3)C)O)(C)O)N(C)C)O)CC=O)C)\C)CO[C@H]4[C@@H]([C@@H]([C@@H]([C@H](O4)C)O)OC)OC,MPM00736,l-Alanyl-l-glutamine,CC(N)C(=O)NC(CCC(N)=O)C(=O)O,1,[*:1][CX3H1:2]=[OX1].[NX3;H2:4][CX4;!a:5]>>[*:1][CH2:2][NH:4][CX4;!a:5],"[46,47]","[2,1]","[1,2]",CC[C@H]1OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O[C@H]3C[C@@](C)(O)[C@@H](O)[C@H](C)O3)[C@H](N(C)C)[C@H]2O)[C@@H](CCNC(C)C(=O)NC(CCC(N)=O)C(=O)O)C[C@@H](C)C(=O)/C=C/C(C)=C/[C@@H]1CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]1OC,CC[C@H]1OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O[C@H]3C[C@@](C)(O)[C@@H](O)[C@H](C)O3)[C@H](N(C)C)[C@H]2O)[C@@H](CCNC(C)C(=O)NC(CCC(N)=O)C(=O)O)C[C@@H](C)C(=O)/C=C/C(C)=C/[C@@H]1CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]1OC,1117.338,78,success,,outputs/mpmdb_seed_macrolide_reductive_amination/images/tylosin/tylosin_seed_amine_0015_MPM00736.png,-0.4419,-0.44190247
